protocol,num_uavs,seed,attempted,delivered,pdr,avg_latency_ms,avg_hops,throughput_pps,topology_changes_per_s,avg_link_lifetime_s,control_packets_per_s,route_discoveries,route_failures,stale_route_failures
shortest_path_oracle,10,28196,600,108,0.18,16.36409660876221,1.5,0.9,0.5416666666666666,26.64,0.0,0,0,0
shortest_path_oracle,10,29196,600,109,0.18166666666666667,15.657696122032092,1.3669724770642202,0.9083333333333333,0.55,24.933333333333334,0.0,0,0,0
shortest_path_oracle,10,30196,600,199,0.33166666666666667,16.915468714854242,1.6582914572864322,1.6583333333333334,0.6083333333333333,34.1,0.0,0,0,0
shortest_path_oracle,10,31196,600,132,0.22,16.590038534677877,1.5681818181818181,1.1,0.49166666666666664,28.384615384615383,0.0,0,0,0
aodv_like_reactive,10,2196,600,85,0.14166666666666666,24.182909859569108,1.4705882352941178,0.7083333333333334,0.4,24.4,48.19166666666667,570,46,0
aodv_like_reactive,10,3196,600,128,0.21333333333333335,24.136476711309104,1.5703125,1.0666666666666667,0.6,23.838709677419356,46.9,550,66,0
aodv_like_reactive,10,4196,600,141,0.235,23.669357423622653,1.574468085106383,1.175,0.5083333333333333,26.444444444444443,45.925,538,74,0
aodv_like_reactive,10,5196,600,45,0.075,21.44216572606294,1.0888888888888888,0.375,0.30833333333333335,23.333333333333332,48.666666666666664,581,20,0
aodv_like_reactive,10,6196,600,106,0.17666666666666667,25.63982876591436,1.7169811320754718,0.8833333333333333,0.44166666666666665,23.68,48.016666666666666,564,58,0
aodv_like_reactive,10,7196,600,116,0.19333333333333333,24.230672881958604,1.646551724137931,0.9666666666666667,0.425,26.708333333333332,46.858333333333334,551,61,0
aodv_like_reactive,10,8196,600,226,0.37666666666666665,25.49432504815231,1.8584070796460177,1.8833333333333333,0.6333333333333333,34.4,44.71666666666667,510,126,0
aodv_like_reactive,10,9196,600,141,0.235,24.25263317043021,1.5106382978723405,1.175,0.6166666666666667,28.413793103448278,46.81666666666667,548,82,0
aodv_like_reactive,10,10196,600,113,0.18833333333333332,21.99641876734594,1.2300884955752212,0.9416666666666667,0.5,27.724137931034484,46.425,549,58,0
aodv_like_reactive,10,11196,600,139,0.23166666666666666,23.60399562993219,1.539568345323741,1.1583333333333334,0.6083333333333333,22.774193548387096,46.03333333333333,540,67,0
aodv_like_reactive,10,12196,600,134,0.22333333333333333,24.535745368075013,1.5671641791044777,1.1166666666666667,0.75,20.38888888888889,47.15833333333333,552,76,0
aodv_like_reactive,10,13196,600,109,0.18166666666666667,22.005364521363386,1.1743119266055047,0.9083333333333333,0.5,30.11111111111111,46.90833333333333,555,57,0
aodv_like_reactive,10,14196,600,117,0.195,24.026637231686536,1.606837606837607,0.975,0.6416666666666667,20.606060606060606,46.9,552,57,0
aodv_like_reactive,10,15196,600,79,0.13166666666666665,23.2893824472563,1.379746835443038,0.6583333333333333,0.4083333333333333,21.416666666666668,47.891666666666666,568,37,0
aodv_like_reactive,10,16196,600,155,0.25833333333333336,24.91604941190751,1.5870967741935484,1.2916666666666667,0.6416666666666667,24.142857142857142,47.025,547,86,0
aodv_like_reactive,10,17196,600,150,0.25,25.75305870557129,1.86,1.25,0.6333333333333333,24.96969696969697,46.78333333333333,543,86,0
aodv_like_reactive,10,18196,600,190,0.31666666666666665,23.690937820964105,1.4684210526315788,1.5833333333333333,0.6916666666666667,28.68421052631579,45.233333333333334,525,93,0
aodv_like_reactive,10,19196,600,117,0.195,23.396620334637912,1.3333333333333333,0.975,0.575,23.733333333333334,47.19166666666667,556,64,0
aodv_like_reactive,10,20196,600,229,0.38166666666666665,24.540229421875708,1.6768558951965065,1.9083333333333334,0.6666666666666666,30.485714285714284,44.13333333333333,506,115,0
aodv_like_reactive,10,21196,600,176,0.29333333333333333,23.88295605851244,1.5738636363636365,1.4666666666666666,0.6333333333333333,29.333333333333332,45.1,525,94,0
aodv_like_reactive,10,22196,600,224,0.37333333333333335,24.885933581658552,1.8571428571428572,1.8666666666666667,0.5666666666666667,29.4375,43.775,501,109,0
aodv_like_reactive,10,23196,600,202,0.33666666666666667,25.325022706382626,1.8712871287128714,1.6833333333333333,0.55,28.838709677419356,45.125,518,101,0
aodv_like_reactive,10,24196,600,105,0.175,22.604799610351957,1.361904761904762,0.875,0.44166666666666665,23.64,46.766666666666666,553,53,0
aodv_like_reactive,10,25196,600,142,0.23666666666666666,23.900289799300968,1.5985915492957747,1.1833333333333333,0.325,38.1,46.108333333333334,540,73,0
aodv_like_reactive,10,26196,600,186,0.31,25.32268222184617,1.8387096774193548,1.55,0.5,24.517241379310345,45.675,526,98,0
aodv_like_reactive,10,27196,600,150,0.25,24.83854523095513,1.72,1.25,0.6166666666666667,24.875,46.55833333333333,542,67,0
aodv_like_reactive,10,28196,600,108,0.18,24.524281793947395,1.5277777777777777,0.9,0.5416666666666666,26.64,47.63333333333333,561,64,0
aodv_like_reactive,10,29196,600,109,0.18166666666666667,24.046686947720165,1.385321100917431,0.9083333333333333,0.55,24.933333333333334,47.81666666666667,563,60,0
aodv_like_reactive,10,30196,600,199,0.33166666666666667,24.556172232442183,1.6834170854271358,1.6583333333333334,0.6083333333333333,34.1,45.083333333333336,520,97,0
aodv_like_reactive,10,31196,600,132,0.22,24.76049308013242,1.5833333333333333,1.1,0.49166666666666664,28.384615384615383,47.25,553,81,0
olsr_like_proactive,10,2196,600,83,0.13833333333333334,16.020198435352984,1.4457831325301205,0.6916666666666667,0.4,24.4,10.05,0,1,1
olsr_like_proactive,10,3196,600,126,0.21,16.20169839194117,1.492063492063492,1.05,0.6,23.838709677419356,11.216666666666667,0,8,8
olsr_like_proactive,10,4196,600,130,0.21666666666666667,16.578578750819524,1.5384615384615385,1.0833333333333333,0.5083333333333333,26.444444444444443,10.966666666666667,0,7,7
